0,1,target
981.8005700905373,1478.960621172836,A
976.0373166985706,1489.799610904655,A
821.7554790983651,1268.3640867819136,A
789.0427930920688,1221.6288111534202,A
742.7464010068132,1116.6068982462116,A
755.3936749544409,1224.0636488826067,A
724.4875269240456,1359.9131522457787,A
688.5880150490251,1290.2562207885921,A
987.4052484551505,1526.0158892528775,A
848.9196664300193,1254.953658492021,A
735.6362808654432,1267.4682763961628,A
1128.566680861814,1679.6008932847274,A
478.03141972431524,2399.876311995546,E
591.9689105976594,2206.6792343703237,E
447.8679269119507,2028.3416134198626,E
459.3357550632745,1993.9298515844453,E
445.7495459410318,1951.7980199161832,E
468.27335344800497,1913.29821138341,E
399.93541477801,2138.0314813328546,E
412.1761495532459,1988.3290882196338,E
557.8893159962738,2290.3865001017252,E
469.923096044558,2042.4054647673972,E
425.73659905836894,1969.6100485766897,E
548.2016766278141,2206.2085902720955,E
390.8628339449454,2607.365600840058,I
326.8609852882258,2490.769891657867,I
361.65645542562015,2281.3432238619093,I
314.13628145879477,2186.27467539165,I
308.9301534731928,2152.8812017799837,I
318.13412015837065,2077.4377195785887,I
268.9552498670742,2404.074413536893,I
272.4433182404869,2149.9250676946726,I
440.0672047237736,2540.5719045035917,I
319.8861591104185,2216.38307279222,I
271.82501878184314,2150.8194542735664,I
396.0063949787046,2726.703630294417,I
595.3627524600668,937.4206729833226,O
584.9951712060765,977.2348847094669,O
575.244591084211,855.3772036894001,O
567.3604100894822,883.5381518017035,O
549.9524005009675,942.3397390654195,O
613.2574902385761,851.0228560911299,O
633.1095669520714,1987.4765033831395,O
474.3286975994624,912.7733536929219,O
766.8886117789259,992.5264968372434,O
559.5610206703418,875.9271894427803,O
584.5978544381526,939.553571240362,O
635.8154326991378,1151.4987030938662,O
391.2040358362457,723.28164286511,U
536.09533205711,1925.471274123261,U
504.48204012594516,1430.1948261019481,U
341.2709155937285,891.2027108097463,U
434.6447226588731,2026.2358123640954,U
489.61082919180484,1789.196250579916,U
478.1075173209794,2041.4790024965882,U
365.2320219976363,802.0846969573277,U
367.8391618353534,1110.0217236069968,U
571.9965170428748,2044.7225633513615,U
471.3011765351166,1765.025636732538,U
351.68530438468133,802.1960847513311,U
333.4469537679418,659.7859659869277,U
